Date,EURUSDV1M Curncy,EURUSDV3M Curncy,EURUSDV1Y Curncy,GBPUSDV1M Curncy,GBPUSDV3M Curncy,GBPUSDV1Y Curncy,USDJPYV1M Curncy,USDJPYV3M Curncy,USDJPYV1Y Curncy,AUDUSDV1M Curncy,AUDUSDV3M Curncy,AUDUSDV1Y Curncy,NZDUSDV1M Curncy,NZDUSDV3M Curncy,NZDUSDV1Y Curncy,USDCADV1M Curncy,USDCADV3M Curncy,USDCADV1Y Curncy,USDCHFV1M Curncy,USDCHFV3M Curncy,USDCHFV1Y Curncy,USDNOKV1M Curncy,USDNOKV3M Curncy,USDNOKV1Y Curncy,USDSEKV1M Curncy,USDSEKV3M Curncy,USDSEKV1Y Curncy,USDMXNV1M Curncy,USDMXNV3M Curncy,USDMXNV1Y Curncy,USDBRLV1M Curncy,USDBRLV3M Curncy,USDBRLV1Y Curncy,USDZARV1M Curncy,USDZARV3M Curncy,USDZARV1Y Curncy,USDTRYV1M Curncy,USDTRYV3M Curncy,USDTRYV1Y Curncy,USDINRV1M Curncy,USDINRV3M Curncy,USDINRV1Y Curncy,USDKRWV1M Curncy,USDKRWV3M Curncy,USDKRWV1Y Curncy
2005-10-05,8.825,8.875,9.35,8.025,8.05,8.275,8.05,8.075,8.2,8.525,8.925,9.7,9.65,9.85,10.8,8.65,8.4,8.35,9.6,9.6,10.175,10.35,10.3,10.6,10.3,10.2,10.5,7.15,7.175,8.3,14.85,14.9,16.4,13.85,14.65,15.75,10.875,11.25,13.48,3.9,3.9,4.65,5.65,5.75,6.55
2005-10-06,8.975,8.925,9.4,8.175,8.0,8.325,8.1,8.025,8.25,8.55,8.85,9.65,9.55,10.0,10.75,8.625,8.45,8.425,9.65,9.6,10.15,10.4,10.3,10.6,10.35,10.2,10.5,7.45,7.525,8.45,15.9,15.7,16.6,14.4,14.65,15.75,10.8,11.3,13.46,3.8,3.9,4.5,5.5,5.725,6.5
2005-10-07,8.8,8.8,9.35,8.0,8.0,8.3,7.9,8.0,8.18,8.35,8.8,9.65,9.45,9.9,10.775,8.15,8.25,8.35,9.4,9.45,10.1,10.2,10.2,10.55,10.15,10.1,10.45,7.3,7.4,8.425,15.2,15.2,16.2,14.35,14.65,15.75,11.5,11.38,13.95,3.8,3.9,4.5,5.55,5.75,6.55
2005-10-10,8.925,8.85,9.4,8.025,8.0,8.325,8.1,8.025,8.2,8.5,8.85,9.65,9.55,9.9,10.7,8.35,8.3,8.35,9.5,9.5,9.975,10.3,10.25,10.525,10.25,10.15,10.425,6.875,7.0,8.425,14.8,14.9,16.1,14.2,14.85,15.8,10.75,10.475,13.375,4.15,4.3,4.6,5.45,5.75,6.475
2005-10-11,8.925,8.9,9.375,8.15,8.0,8.275,8.0,7.975,8.2,8.6,9.0,9.75,9.65,10.1,10.875,8.45,8.25,8.4,9.5,9.55,10.02,10.3,10.3,10.57,10.25,10.2,10.47,6.95,7.225,8.3,14.65,14.9,16.25,14.1,14.5,15.8,9.875,10.6,13.1,4.3,4.3,4.6,5.6,5.8,6.55
2005-10-12,8.875,8.925,9.4,8.125,8.05,8.325,8.0,8.025,8.25,8.7,9.1,9.7,9.6,10.05,10.85,8.35,8.25,8.4,9.55,9.55,10.0,10.35,10.3,10.55,10.3,10.2,10.45,7.65,7.625,8.45,15.15,15.15,16.4,14.15,14.55,15.75,9.6,10.58,13.9,4.3,4.3,4.6,5.75,5.95,6.575
2005-10-13,8.875,8.975,9.45,8.075,8.125,8.375,8.1,8.175,8.35,8.6,9.1,9.8,9.75,10.25,10.895,8.35,8.3,8.35,9.45,9.65,10.05,10.25,10.4,10.6,10.2,10.3,10.5,7.5,7.625,8.35,15.9,15.7,16.5,14.55,15.1,16.0,10.375,11.0,13.7,4.45,4.35,4.75,6.3,6.275,6.7
2005-10-14,8.775,8.925,9.4,8.025,8.0,8.325,8.0,8.025,8.25,8.5,9.0,9.7,9.5,10.0,10.85,8.2,8.3,8.4,9.4,9.55,10.0,10.2,10.3,10.55,10.15,10.2,10.45,7.5,7.5,8.4,15.2,15.35,16.45,14.25,15.0,16.0,11.375,11.375,13.65,4.4,4.35,4.75,6.1,6.1,6.675
2005-10-17,8.875,8.925,9.4,8.325,8.15,8.375,8.2,8.075,8.25,8.6023,9.0389,9.725,9.6523,10.1389,10.85,8.45,8.3,8.4,9.5,9.65,10.0,10.3,10.4,10.55,10.25,10.3,10.45,7.3,7.33,8.3,14.85,14.9,16.25,13.8,14.6,15.6,10.25,11.125,13.0,4.3,4.3,4.7,6.075,6.1,6.625
2005-10-18,9.125,9.075,9.45,8.375,8.25,8.425,8.2,8.125,8.25,8.7066,9.1153,9.75,9.7066,10.2153,10.8,8.4,8.3,8.4,9.7,9.775,10.125,10.5,10.5,10.65,10.45,10.4,10.6625,7.2,7.275,8.3,14.65,15.1,16.35,14.0,14.8,15.5,10.25,10.75,13.15,4.6,4.6,4.75,6.2,6.225,6.7
2005-10-19,9.075,9.125,9.5,8.35,8.2,8.375,8.2,8.075,8.25,8.57,9.05,9.725,9.57,10.15,10.85,8.4,8.35,8.4,9.8,9.825,10.075,10.55,10.55,10.6,10.5,10.45,10.5,7.25,7.375,8.3,15.0,15.2,16.4,14.375,14.75,15.75,11.25,11.25,13.5,5.0,5.0,5.0001,6.6,6.65,6.8
2005-10-20,8.925,9.075,9.4,8.275,8.35,8.375,8.0,8.075,8.225,8.425,9.0,9.7,9.45,9.95,10.75,8.4,8.35,8.4,9.625,9.725,10.075,10.35,10.45,10.6,10.3,10.35,10.5,7.15,7.225,8.35,14.6,15.15,16.5,14.25,14.75,15.75,10.75,10.75,13.65,5.0,5.0,5.0001,6.7,6.65,6.85
2005-10-21,8.875,8.975,9.45,8.15,8.15,8.35,7.9,8.075,8.25,8.35,8.85,9.62,9.35,9.95,10.745,8.3,8.3,8.35,9.6,9.675,10.1,10.3,10.375,10.6,10.25,10.275,10.5,7.2,7.3,8.4,15.0,15.35,16.5,13.5,14.9,15.75,9.925,10.125,13.3,4.75,4.75,4.75,6.45,6.5,6.75
2005-10-24,8.975,9.025,9.45,8.175,8.1,8.275,7.95,8.025,8.25,8.55,8.95,9.65,9.6,10.0,10.8,8.55,8.4,8.4,9.7,9.775,10.1,10.4,10.475,10.6,10.35,10.375,10.5,7.1,7.225,8.35,14.75,15.0,16.3,13.45,14.5,15.5,10.0,10.25,13.35,4.7,4.7,4.75,6.475,6.475,6.825
2005-10-25,8.975,9.075,9.4,8.175,8.15,8.325,8.0,8.075,8.2,8.4881,8.8803,9.6,9.4381,9.9303,10.7,8.55,8.4,8.4,9.675,9.725,10.075,10.375,10.425,10.575,10.325,10.325,10.475,7.05,7.275,8.45,14.0,14.65,16.2,13.1,15.0,15.3,8.75,9.875,13.25,4.65,4.65,4.75,6.2,6.425,6.8
2005-10-26,8.925,9.05,9.4,8.175,8.15,8.3,7.95,8.025,8.2,8.3,8.8,9.5,9.2,9.825,10.575,8.5,8.45,8.45,9.65,9.7,10.1,10.35,10.4,10.6,10.3,10.3,10.5,7.25,7.375,8.45,14.25,14.5,16.55,14.15,14.4,15.25,9.1625,9.905,12.6275,4.65,4.65,4.75,6.35,6.325,6.775
2005-10-27,8.675,8.975,9.35,8.05,8.15,8.3,7.8,8.125,8.25,8.1,8.75,9.45,9.1,9.8366,10.55,8.45,8.45,8.35,9.35,9.65,10.05,10.05,10.35,10.55,10.0,10.25,10.45,7.35,7.475,8.5,13.95,14.75,16.5,14.0,14.5,15.5,8.915,9.6575,12.6275,4.65,4.65,4.75,6.1,6.2,6.7
2005-10-28,8.425,8.825,9.4,7.85,8.0,8.275,7.7,8.025,8.25,7.85,8.55,9.3,8.85,9.65,10.45,8.25,8.3,8.45,9.25,9.5,10.0,9.95,10.2,10.5,9.9,10.1,10.4,7.0,7.25,8.5,13.65,14.25,16.15,13.4,14.7,15.7,9.0,10.35,12.75,4.65,4.65,4.75,6.0,6.3,6.75
2005-10-31,8.825,8.925,9.35,8.125,8.1,8.325,7.9,7.975,8.2,8.15,8.65,9.35,9.1,9.7,10.49,8.5,8.4,8.4,9.5,9.6,10.1,10.2,10.3,10.6,10.15,10.2,10.5,7.1,7.325,8.35,13.4,14.15,16.25,14.0,14.75,15.6,8.75,9.7,13.0,4.65,4.65,4.75,5.975,6.275,6.725
2005-11-01,8.875,8.925,9.4,8.175,8.1,8.275,7.95,8.075,8.2,8.3,8.7,9.35,9.2,9.6,10.5,8.45,8.35,8.35,9.6,9.6,10.03,10.25,10.3,10.53,10.2,10.2,10.43,7.325,7.6,8.45,13.0,13.75,16.1,13.2,14.6,15.8,8.41,9.0,12.55,4.65,4.65,4.75,6.0,6.225,6.7
2005-11-02,8.75,8.975,9.4,8.125,8.15,8.325,7.85,8.075,8.3,8.55,8.9,9.5,9.65,9.85,10.55,8.45,8.35,8.35,9.45,9.7,10.03,10.15,10.4,10.53,10.1,10.3,10.43,6.7,7.0,8.32,13.0,13.85,15.85,13.0,14.5,15.7,8.25,9.0,12.5,4.65,4.65,4.75,6.05,6.25,6.7
2005-11-03,8.875,8.975,9.35,7.975,8.15,8.375,7.8,8.125,8.25,8.6,9.05,9.55,9.5,10.05,10.65,8.5,8.3,8.25,9.43,9.65,10.05,10.13,10.35,10.55,10.08,10.25,10.45,6.65,7.175,8.3,12.7,13.8,15.9,12.75,14.5,15.7,8.25,9.35,12.5,4.65,4.65,4.75,6.05,6.225,6.65
2005-11-04,9.125,9.075,9.5,8.175,8.15,8.325,7.9,8.025,8.3,8.65,9.05,9.68,9.675,10.0,10.855,8.25,8.3,8.3,9.75,9.87,10.125,10.45,10.57,10.625,10.4,10.47,10.525,6.6,6.925,8.3,12.8,13.65,15.9,12.7,14.5,15.5,8.7,9.2,12.5,5.0,5.0,5.0001,6.25,6.5,6.925
2005-11-07,9.4,9.2,9.475,8.5,8.3,8.375,8.05,8.075,8.3,9.0,9.3,9.75,9.95,10.25,10.75,8.45,8.3,8.3,10.1,9.85,10.15,10.8,10.55,10.65,10.75,10.45,10.55,6.57,6.88,8.3,12.7,13.65,15.7,13.4,14.5,15.8,8.5,9.25,12.45,5.2,5.2,5.2001,6.35,6.45,6.85
2005-11-08,9.275,9.275,9.45,8.475,8.25,8.525,7.9,8.075,8.3,9.0,9.3,9.75,10.075,10.375,10.85,8.6,8.35,8.325,10.03,10.0,10.2,10.73,10.7,10.7,10.68,10.6,10.6,6.55,6.875,8.3,13.0,13.75,15.7,13.75,14.25,15.5,8.25,9.0,12.45,5.55,5.55,5.55,6.3,6.475,6.8
2005-11-09,9.225,9.375,9.5,8.325,8.35,8.425,7.6,8.025,8.3,8.8,9.25,9.8,9.8,10.45,10.85,8.6,8.4,8.25,9.9,10.05,10.2,10.6,10.75,10.7,10.55,10.65,10.6,6.5,6.875,8.3,13.3,13.8,15.2,13.125,14.15,15.5,8.25,8.9,12.5,5.55,5.55,5.55,6.05,6.275,6.75
2005-11-10,9.2,9.375,9.55,8.225,8.35,8.425,7.6,7.975,8.3,8.8,9.25,9.75,9.8,10.325,10.85,8.35,8.25,8.35,9.9,10.05,10.2,10.6,10.75,10.7,10.55,10.65,10.6,6.3,6.875,8.3,13.8,13.8,15.75,13.0,14.0,15.5,8.25,9.0,12.5,5.5,5.55,5.55,6.075,6.15,6.7
2005-11-11,8.9,9.275,9.5,8.125,8.2,8.425,7.6,7.925,8.235,8.775,9.225,9.775,9.725,10.25,10.9,8.2,8.35,8.35,9.6,9.9,10.2,10.3,10.6,10.7,10.25,10.5,10.6,6.2,6.85,8.3,13.25,13.75,15.65,13.0,14.15,15.7,8.85,9.75,12.65,5.5,5.55,5.55,5.975,6.075,6.65
2005-11-14,9.275,9.2,9.5,8.35,8.3,8.475,7.85,7.975,8.25,9.1,9.3,9.85,10.4,10.45,10.95,8.5,8.3,8.3,9.975,9.9,10.2,10.675,10.6,10.7,10.625,10.5,10.6,6.0,6.775,8.2,14.0,14.2,15.9,13.0,13.875,15.375,8.18,9.12,12.16,5.5,5.5,5.5,5.875,6.075,6.625
2005-11-15,9.375,9.325,9.5,8.45,8.35,8.425,7.975,7.95,8.26,9.2,9.35,9.85,10.35,10.5,10.95,8.525,8.35,8.325,10.1,10.025,10.2,10.8,10.725,10.7,10.75,10.625,10.6,6.1,6.725,8.2,14.1,13.75,15.65,13.0,14.0,15.3,8.25,9.0,12.5,5.5,5.5,5.5,5.95,6.1,6.675
2005-11-16,9.275,9.325,9.5,8.575,8.4,8.525,7.9,8.075,8.25,9.15,9.35,9.85,10.1,10.45,10.95,8.35,8.25,8.3,10.0,10.05,10.22,10.7,10.75,10.72,10.65,10.65,10.62,6.05,6.775,8.2,14.25,14.45,16.2,12.75,13.8,15.6,8.0,9.1,12.4,5.5,5.5,5.5,5.975,6.05,6.675
2005-11-17,9.0,9.25,9.5,8.275,8.4,8.525,7.8,8.025,8.25,8.75,9.4,9.75,9.9534,10.3309,10.825,8.25,8.25,8.25,9.72,9.95,10.2,10.42,10.65,10.7,10.32,10.45,10.6,7.325,7.6,8.25,14.4,14.4,16.25,12.2,13.4,15.2,7.75,9.0,12.0,5.35,5.35,5.35,5.9,6.05,6.7
2005-11-18,9.025,9.075,9.5,8.3,8.3,8.55,7.7,7.95,8.21,8.55,9.05,9.7,9.6,10.13,10.8,7.95,8.1,8.2,9.7,9.85,10.15,10.4,10.55,10.65,10.3,10.35,10.55,6.0,6.525,8.25,15.0,14.11,16.2,11.65,13.4,14.95,7.95,9.09,12.21,5.15,5.15,5.1501,5.85,6.1,6.7
2005-11-21,9.375,9.3,9.5,8.425,8.35,8.575,8.0,8.025,8.25,8.7,9.04,9.68,9.7,10.09,10.78,8.1,8.15,8.2,10.075,10.0,10.2,10.775,10.7,10.7,10.675,10.5,10.6,6.0,6.625,8.25,14.6,14.8,16.2,12.0,13.5,15.3,8.0,9.1,12.2,5.05,5.15,5.1501,5.8,6.0,6.65
2005-11-22,9.35,9.25,9.5,8.45,8.375,8.525,7.8,7.8,8.175,8.65,9.04,9.6,9.7,10.09,10.7,8.05,8.1,8.2,10.05,9.95,10.2,10.75,10.65,10.7,10.65,10.45,10.6,5.9,6.65,8.25,15.0,15.3,16.2,11.75,13.3,15.2,8.0,9.0,12.5,5.05,5.15,5.1501,5.85,6.05,6.7
2005-11-23,9.325,9.375,9.5,8.425,8.375,8.525,7.9,7.925,8.2,8.6105,8.8365,9.55,9.6605,9.8865,10.65,7.95,8.1,8.2,10.07,10.0,10.2,10.77,10.7,10.7,10.67,10.5,10.6,5.95,6.725,8.25,14.75,14.95,16.3,11.7,12.75,15.2,7.7,9.0,12.2,5.05,5.15,5.1501,5.65,5.85,6.6
2005-11-24,9.25,9.3,9.5,8.25,8.3,8.525,7.8,7.875,8.2,8.5149,8.7872,9.5,9.5149,9.8372,10.6,7.95,8.1,8.15,9.95,10.0,10.2,10.65,10.7,10.7,10.55,10.5,10.6,5.9,6.65,8.25,14.4,14.8,16.0,11.75,13.3,15.2,7.7,8.9,12.25,4.75,5.0,5.1501,5.55,5.9,6.55
2005-11-25,9.025,9.275,9.5,7.975,8.3,8.525,7.45,7.875,8.2,8.1,8.75,9.45,9.05,9.8372,10.6,7.95,8.0,8.2,9.75,9.975,10.2,10.45,10.675,10.7,10.35,10.475,10.6,5.85,6.625,8.2,14.1,14.35,15.9,11.75,13.3,15.2,7.5,8.7,12.0,4.6,4.95,5.1501,5.35,5.725,6.55
2005-11-28,9.275,9.375,9.5,8.275,8.35,8.575,7.7,7.925,8.25,8.15,8.75,9.5,9.1989,9.788,10.6,7.85,8.05,8.2,9.85,10.05,10.225,10.55,10.75,10.725,10.45,10.55,10.625,6.1,6.725,8.3,13.9,14.6,15.85,11.8,13.0,15.0,7.4,8.428,12.076,5.05,5.15,5.2001,5.35,5.85,6.475
2005-11-29,9.175,9.275,9.5,8.325,8.35,8.475,7.8,7.975,8.2,8.15,8.65,9.5,9.05,9.7,10.65,7.65,7.9,8.1,9.85,9.9,10.2,10.55,10.6,10.7,10.45,10.4,10.6,6.0,6.625,8.1,13.9,14.3,16.15,11.25,13.3,15.1,8.95,9.95,12.75,5.05,5.15,5.2001,5.25,5.75,6.525
2005-11-30,9.075,9.225,9.55,8.325,8.3,8.575,7.9,7.9,8.15,8.0808,8.6875,9.45,9.0808,9.7375,10.55,7.6,7.85,8.05,9.6,9.95,10.22,10.5,10.65,10.72,10.4,10.45,10.62,6.524,6.86,8.382,14.3,14.7,16.25,11.25,13.3,14.45,8.0,9.0,12.5,4.8,5.0,5.05,5.25,5.7,6.475
2005-12-01,8.9,9.3,9.5,8.05,8.4,8.55,7.8,8.0,8.185,7.9972,8.687,9.5,8.9972,9.737,10.55,7.6,7.9,8.0,9.3,10.0,10.22,10.2,10.7,10.72,10.1,10.5,10.62,6.2,6.775,8.15,14.3,14.6,15.9,11.0,12.75,14.4,6.75,8.75,12.75,4.8,5.0,5.05,5.1,5.65,6.5
2005-12-02,8.525,9.075,9.5,7.85,8.325,8.5,7.65,8.125,8.3,7.75,8.5372,9.3,8.75,9.5872,10.4,7.35,7.9,8.0,8.9,9.8,10.17,9.8,10.5,10.67,9.7,10.3,10.57,6.3,6.925,8.15,13.9,14.35,15.8,11.0,13.3,14.6,7.75,8.7,12.125,4.7,4.85,5.05,5.1,5.65,6.5
2005-12-05,8.525,9.175,9.5,7.875,8.3,8.575,7.95,8.125,8.2,8.0386,8.5873,9.15,9.0386,9.6373,10.25,7.4,8.0,8.05,9.0,9.67,10.1,10.0,10.52,10.62,9.9,10.32,10.52,6.524,6.86,8.12,13.95,14.4,15.95,11.0,12.55,14.25,7.5,8.7,12.0,4.7,4.85,5.05,4.925,5.6,6.5
2005-12-06,8.475,9.025,9.45,7.95,8.25,8.525,7.8,8.075,8.3,7.8301,8.4353,9.1,8.8301,9.4853,10.25,7.55,7.9,8.0,8.85,9.58,10.13,9.85,10.43,10.65,9.75,10.23,10.55,6.25,6.825,8.15,14.0,14.4,15.8,11.0,12.8,14.6,7.25,9.0,12.0,5.1,5.1,5.1,4.75,5.35,6.45
2005-12-07,8.475,9.025,9.45,7.9,8.25,8.525,7.8,8.125,8.25,7.948,8.6604,9.2,9.448,9.9104,10.4,7.5,7.85,8.05,8.87,9.6,10.13,9.87,10.45,10.65,9.77,10.25,10.55,6.2,6.725,8.05,14.45,14.5,16.05,11.0,12.625,14.6,6.375,8.0,11.5,4.9,5.0,5.0001,4.8,5.45,6.45
