Date,USGG10YR INDEX,GJGB10 INDEX,GUKG10 INDEX,GDBR10 INDEX,GFRN10 INDEX,GBTPGR10 INDEX,GSPG10YR INDEX,GACGB10 INDEX
2005-10-05,4.3398,1.515,4.264,3.174,3.215,3.364,3.15,5.373
2005-10-06,4.3873,1.49,4.26,3.186,3.22,3.378,3.162,5.317
2005-10-07,4.354,1.52,4.269,3.176,3.21,3.371,3.153,5.353
2005-10-10,4.3557,1.521,4.257,3.162,3.197,3.357,3.14,5.345
2005-10-11,4.3914,1.544,4.275,3.188,3.224,3.381,3.167,5.324
2005-10-12,4.4392,1.543,4.327,3.223,3.259,3.412,3.2,5.367
2005-10-13,4.4612,1.575,4.398,3.283,3.317,3.471,3.259,5.397
2005-10-14,4.4793,1.575,4.416,3.291,3.326,3.477,3.265,5.442
2005-10-17,4.4934,1.575,4.422,3.295,3.331,3.481,3.268,5.46
2005-10-18,4.4694,1.57,4.403,3.289,3.326,3.475,3.261,5.453
2005-10-19,4.4594,1.515,4.372,3.26,3.297,3.445,3.234,5.398
2005-10-20,4.4295,1.527,4.406,3.29,3.327,3.476,3.264,5.412
2005-10-21,4.3837,1.515,4.366,3.231,3.268,3.422,3.204,5.367
2005-10-24,4.4436,1.51,4.359,3.236,3.274,3.426,3.211,5.34
2005-10-25,4.5341,1.525,4.41,3.311,3.349,3.502,3.285,5.417
2005-10-26,4.5827,1.56,4.429,3.378,3.404,3.577,3.352,5.477
2005-10-27,4.5463,1.525,4.408,3.402,3.434,3.603,3.38,5.468
2005-10-28,4.5648,1.522,4.36,3.406,3.436,3.609,3.378,5.433
2005-10-31,4.5506,1.554,4.335,3.391,3.423,3.595,3.432,5.479
2005-11-01,4.5629,1.583,4.341,3.418,3.45,3.62,3.461,5.462
2005-11-02,4.6036,1.574,4.412,3.46,3.492,3.657,3.503,5.45
2005-11-03,4.6465,1.573,4.441,3.473,3.502,3.667,3.513,5.5
2005-11-04,4.659,1.615,4.437,3.494,3.52,3.688,3.534,5.565
2005-11-07,4.6223,1.63,4.428,3.501,3.531,3.698,3.543,5.563
2005-11-08,4.5512,1.603,4.399,3.462,3.491,3.659,3.503,5.533
2005-11-09,4.6388,1.57,4.44,3.523,3.555,3.735,3.567,5.512
2005-11-10,4.5535,1.58,4.432,3.523,3.553,3.732,3.565,5.53
2005-11-11,4.5333,1.575,4.44,3.512,3.542,3.716,3.554,5.451
2005-11-14,4.6043,1.523,4.429,3.537,3.569,3.738,3.576,5.401
2005-11-15,4.5569,1.475,4.339,3.506,3.534,3.71,3.545,5.48
2005-11-16,4.4706,1.509,4.21,3.427,3.45,3.624,3.462,5.434
2005-11-17,4.4569,1.473,4.231,3.444,3.468,3.639,3.48,5.353
2005-11-18,4.4881,1.465,4.268,3.539,3.564,3.735,3.578,5.348
2005-11-21,4.4588,1.485,4.219,3.485,3.506,3.675,3.523,5.398
2005-11-22,4.4256,1.48,4.24,3.484,3.506,3.675,3.521,5.373
2005-11-23,4.47,1.48,4.246,3.499,3.493,3.658,3.508,5.345
2005-11-24,4.47,1.444,4.204,3.42,3.413,3.58,3.429,5.405
2005-11-25,4.4274,1.45,4.201,3.427,3.421,3.595,3.436,5.393
2005-11-28,4.404,1.465,4.21,3.418,3.414,3.59,3.432,5.369
2005-11-29,4.4743,1.464,4.246,3.467,3.467,3.641,3.487,5.348
2005-11-30,4.484,1.44,4.231,3.455,3.457,3.634,3.474,5.377
2005-12-01,4.5135,1.459,4.19,3.407,3.412,3.586,3.429,5.388
2005-12-02,4.5115,1.515,4.226,3.397,3.398,3.578,3.416,5.362
2005-12-05,4.5687,1.575,4.278,3.416,3.419,3.594,3.436,5.442
2005-12-06,4.482,1.565,4.244,3.373,3.374,3.549,3.392,5.498
2005-12-07,4.5095,1.545,4.294,3.407,3.41,3.58,3.427,5.431
2005-12-08,4.4623,1.534,4.25,3.377,3.381,3.553,3.4,5.454
2005-12-09,4.5233,1.564,4.331,3.445,3.45,3.619,3.464,5.384
2005-12-12,4.547,1.605,4.305,3.422,3.427,3.593,3.44,5.432
2005-12-13,4.5193,1.585,4.297,3.403,3.407,3.574,3.421,5.459
2005-12-14,4.4563,1.549,4.285,3.367,3.373,3.543,3.385,5.41
2005-12-15,4.4602,1.515,4.285,3.38,3.387,3.56,3.397,5.325
2005-12-16,4.4327,1.535,4.239,3.345,3.356,3.534,3.364,5.285
2005-12-19,4.4385,1.545,4.196,3.339,3.35,3.529,3.356,5.32
2005-12-20,4.4601,1.53,4.178,3.348,3.36,3.54,3.366,5.295
2005-12-21,4.4877,1.555,4.214,3.397,3.41,3.59,3.415,5.295
2005-12-22,4.4267,1.555,4.187,3.357,3.36,3.552,3.375,5.305
2005-12-23,4.372,1.555,4.181,3.326,3.331,3.524,3.375,5.23
2005-12-26,4.372,1.53,4.181,3.331,3.335,3.529,3.377,5.235
2005-12-27,4.3366,1.5,4.181,3.325,3.331,3.522,3.357,5.22
2005-12-28,4.3737,1.53,4.117,3.298,3.3,3.496,3.311,5.2
2005-12-29,4.3541,1.514,4.124,3.329,3.33,3.533,3.335,5.21
2005-12-30,4.3911,1.48,4.1,3.309,3.304,3.509,3.312,5.2
2006-01-02,4.3911,1.48,4.1,3.332,3.336,3.537,3.344,5.21
2006-01-03,4.3637,1.48,4.105,3.326,3.33,3.531,3.334,5.225
2006-01-04,4.3422,1.45,4.074,3.285,3.289,3.487,3.293,5.19
2006-01-05,4.3519,1.445,4.071,3.273,3.279,3.485,3.283,5.185
2006-01-06,4.3733,1.45,4.076,3.262,3.264,3.471,3.27,5.175
2006-01-09,4.3654,1.45,4.106,3.259,3.264,3.467,3.269,5.175
2006-01-10,4.4243,1.435,4.136,3.287,3.29,3.491,3.296,5.185
2006-01-11,4.4518,1.46,4.12,3.297,3.295,3.499,3.308,5.215
2006-01-12,4.4026,1.454,4.083,3.275,3.276,3.479,3.288,5.22
2006-01-13,4.3534,1.459,4.058,3.264,3.263,3.468,3.274,5.165
2006-01-16,4.3534,1.464,4.049,3.276,3.277,3.48,3.286,5.145
2006-01-17,4.324,1.435,3.988,3.267,3.271,3.474,3.279,5.16
2006-01-18,4.3318,1.444,3.984,3.281,3.285,3.489,3.293,5.115
2006-01-19,4.3729,1.49,4.044,3.339,3.346,3.549,3.353,5.145
2006-01-20,4.3493,1.48,4.042,3.375,3.381,3.588,3.386,5.18
2006-01-23,4.3551,1.445,4.023,3.385,3.395,3.598,3.398,5.135
2006-01-24,4.3904,1.445,4.034,3.37,3.38,3.585,3.382,5.165
2006-01-25,4.4754,1.47,4.106,3.433,3.442,3.645,3.447,5.25
