Date,USDRC CURNCY,EUDRC CURNCY,BPDRC CURNCY,JYDRC CURNCY,ADDRC CURNCY,NDDRC CURNCY,CDDRC CURNCY,SFDRC CURNCY,NKDRC CURNCY,SKDRC CURNCY,MPDRC CURNCY,BCDRC CURNCY,SADRC CURNCY,TYDRC CURNCY,IRSCDC CURNCY,KWCDC CURNCY
2005-10-05,4.05,2.1563,4.5469,0.02,5.555,7.135,3.005,0.7291,2.372,1.615,,,7.2,14.68,,3.98
2005-10-06,4.075,2.1563,4.52,0.0225,5.525,7.095,3.02,0.7232,2.34,1.65,,,7.2,14.63,,3.97
2005-10-07,4.095,2.1407,4.51,0.01,5.565,7.12,3.02,0.75,2.33,1.625,,,7.2,14.63,,3.97
2005-10-10,4.085,2.1563,4.49,0.0,5.555,7.12,3.02,0.7501,2.35,1.645,,,7.2,14.63,,3.98
2005-10-11,4.085,2.1575,4.485,0.0,5.555,7.16,3.02,0.7501,2.34,1.655,,,7.2,14.63,,3.97
2005-10-12,4.11,2.1563,4.505,0.0,5.54,7.175,3.02,0.725,2.32,1.64,,,7.2,14.63,,3.97
2005-10-13,4.11,2.1563,4.495,0.0,5.56,7.205,3.05,0.7501,2.34,1.635,,,7.2,14.63,,3.92
2005-10-14,4.14,2.1563,4.505,0.0,5.565,7.195,3.07,0.7501,2.3,1.555,,,7.2,14.63,,3.92
2005-10-17,4.13,2.155,4.525,0.0,5.52,7.16,3.07,0.7501,2.3395,1.56,,,7.2,14.5,,3.92
2005-10-18,4.135,2.1563,4.495,0.0,5.52,7.18,3.12,0.7501,2.28,1.56,,,7.2,14.5,,3.9
2005-10-19,4.055,2.18,4.525,0.0,5.555,7.25,3.12,0.775,2.3155,1.56,,,7.2,14.5,,3.87
2005-10-20,4.17,2.1575,4.525,0.0,5.54,7.2,3.14,0.755,2.28,1.56,,,7.2,14.5,,3.87
2005-10-21,4.13,2.1563,4.525,0.0,5.56,7.3,3.12,0.7501,2.3,1.545,,,7.2,14.5,,3.87
2005-10-24,4.165,2.155,4.535,0.0,5.56,7.3,3.14,0.77,2.3495,1.545,,,7.2,14.5,,3.88
2005-10-25,4.175,2.165,4.525,-0.02,5.56,7.3,3.14,0.75,2.305,1.545,,,7.2,14.5,,3.89
2005-10-26,4.13,2.175,4.555,0.0,5.57,7.3,3.15,0.7501,2.34,1.605,,,7.2,14.5,,3.89
2005-10-27,4.225,2.205,4.525,0.0,5.565,7.275,3.16,0.775,2.33,1.605,,,7.2,14.5,,3.9
2005-10-28,4.225,2.1563,4.55,0.0,5.56,7.23,3.17,0.7501,2.36,1.61,,,7.2,14.5,,3.91
2005-10-31,4.225,2.1563,4.55,0.0,5.565,7.225,3.18,0.7501,2.395,1.615,,,7.2,14.5,,3.91
2005-11-01,4.215,2.2188,4.5313,-0.02,5.535,7.255,3.18,0.8126,2.395,1.615,,,7.2,14.5,,3.93
2005-11-02,4.285,2.2188,4.5626,-0.02,5.515,7.255,3.185,0.8438,2.395,1.615,,,7.2,14.5,,3.95
2005-11-03,4.255,2.225,4.535,0.0,5.54,7.26,3.2,0.84,2.3975,1.62,,,7.2,14.5,,3.95
2005-11-04,4.285,2.265,4.555,0.0,5.53,7.3,3.2,0.885,2.42,1.63,,,7.2,14.5,,3.96
2005-11-07,4.315,2.275,4.56,0.0,5.57,7.36,3.2,0.8751,2.42,1.625,,,7.2,14.25,,3.96
2005-11-08,4.315,2.245,4.545,0.0155,5.56,7.365,3.2,0.94,2.44,1.575,,,7.2,14.25,,3.95
2005-11-09,4.295,2.2188,4.5313,-0.02,5.575,7.365,3.2,0.8751,2.445,1.635,,,7.2,14.25,,3.95
2005-11-10,4.295,2.305,4.57,0.0155,5.525,7.43,3.2,0.94,2.42,1.575,,,7.2,14.0,,3.95
2005-11-11,4.325,2.265,4.565,0.0,5.535,7.425,3.2,0.8751,2.44,1.63,,,7.2,14.0,,3.95
2005-11-14,4.35,2.325,4.565,0.0,5.515,7.37,3.26,0.8751,2.42,1.645,,,7.15,14.0,,3.95
2005-11-15,4.315,2.3126,4.57,0.03,5.56,7.515,3.28,0.9063,2.42,1.645,,,7.15,14.0,,3.97
2005-11-16,4.325,2.31,4.56,0.01,5.51,7.48,3.285,0.935,2.44,1.62,,,7.15,14.0,,3.97
