Date,SPX INDEX,NKY INDEX,UKX INDEX,SX5E INDEX,AS51 INDEX,MEXBOL INDEX,IBOV INDEX,KOSPI INDEX,HSI INDEX
2005-10-05,1196.39,13689.89,5427.8,3418.84,4543.507,15720.35,30163.52,1227.4,15161.03
2005-10-06,1191.49,13359.51,5372.4,3384.15,4447.305,15247.6,29227.4,1202.49,14839.3
2005-10-07,1195.9,13227.74,5362.3,3374.1,4440.6,15447.59,29972.99,1201.01,14847.79
2005-10-10,1187.33,13227.74,5374.5,3381.17,4469.061,15466.41,30277.22,1227.18,14898.77
2005-10-11,1184.87,13556.71,5380.7,3387.46,4428.841,15445.37,30614.23,1244.27,14898.77
2005-10-12,1177.68,13463.74,5342.2,3359.85,4468.215,15103.16,30614.23,1217.06,14575.02
2005-10-13,1176.84,13449.24,5265.2,3331.42,4431.008,14924.73,29880.04,1193.44,14621.83
2005-10-14,1186.57,13420.54,5275.0,3349.58,4406.113,14892.88,29770.22,1190.17,14485.88
2005-10-17,1190.1,13400.29,5286.5,3356.77,4425.272,15282.73,30241.61,1176.36,14541.35
2005-10-18,1178.14,13352.24,5263.9,3334.79,4459.274,15084.84,29067.91,1186.22,14597.4
2005-10-19,1195.76,13129.49,5167.8,3279.61,4377.17,15111.95,29297.11,1153.13,14372.76
2005-10-20,1177.8,13190.46,5164.1,3284.78,4380.053,14821.1,28344.08,1162.23,14408.94
2005-10-21,1179.59,13199.95,5142.1,3271.05,4364.322,14903.36,29175.79,1183.48,14487.85
2005-10-24,1199.38,13106.18,5207.6,3310.13,4357.239,15356.32,29834.99,1184.6,14402.35
2005-10-25,1196.54,13280.62,5182.1,3292.52,4390.829,15367.87,29498.03,1181.28,14424.88
2005-10-26,1191.38,13395.02,5227.8,3304.27,4443.38,15666.22,29729.97,1179.0,14458.14
2005-10-27,1178.9,13417.08,5182.8,3241.14,4433.015,15437.63,29132.52,1166.36,14381.06
2005-10-28,1198.41,13346.54,5213.4,3245.98,4383.007,15579.68,29318.18,1140.72,14215.83
2005-10-31,1207.01,13606.5,5317.3,3320.15,4459.666,15759.73,30193.51,1158.11,14386.37
2005-11-01,1202.76,13867.86,5344.3,3312.45,4474.668,15922.52,30899.71,1188.95,14572.26
2005-11-02,1214.76,13894.78,5358.6,3320.62,4456.348,15896.48,30899.71,1208.38,14597.48
2005-11-03,1219.94,13894.78,5431.9,3361.64,4513.664,15798.04,31099.97,1217.97,14601.59
2005-11-04,1220.14,14075.96,5423.6,3355.28,4519.531,15900.53,30887.5,1221.98,14585.79
2005-11-07,1222.81,14061.6,5460.8,3362.83,4512.455,15944.15,30952.24,1218.47,14365.79
2005-11-08,1218.59,14036.73,5460.9,3361.75,4554.464,15930.71,30970.6,1226.71,14403.2
2005-11-09,1220.65,14072.2,5439.8,3355.77,4526.143,15981.18,30666.07,1227.59,14597.55
2005-11-10,1230.96,14080.88,5423.5,3361.05,4543.743,16153.08,30724.6,1234.43,14633.33
2005-11-11,1234.71,14155.06,5465.1,3406.23,4574.261,16137.07,30510.89,1256.12,14740.6
2005-11-14,1233.76,14116.04,5470.0,3412.19,4608.443,16293.53,30218.88,1257.63,14629.49
2005-11-15,1229.01,14091.77,5439.6,3413.96,4603.151,16193.58,30218.88,1253.86,14627.41
2005-11-16,1231.21,14170.87,5430.0,3391.59,4621.106,16310.68,30482.12,1267.16,14650.54
2005-11-17,1242.8,14411.79,5460.0,3404.12,4629.133,16455.39,31087.0,1269.35,14787.98
2005-11-18,1248.27,14623.12,5498.9,3427.18,4671.102,16545.44,31102.37,1272.25,14883.32
2005-11-21,1254.85,14680.43,5497.9,3450.01,4654.181,16767.07,31110.07,1268.8,14885.57
2005-11-22,1261.23,14708.32,5517.2,3450.51,4622.945,16866.84,31489.01,1244.5,14885.65
2005-11-23,1265.61,14708.32,5531.7,3471.43,4616.619,16713.91,31942.56,1282.02,15062.35
2005-11-24,1265.61,14742.58,5511.0,3459.15,4652.329,16750.44,31944.73,1291.71,15084.39
2005-11-25,1268.25,14784.29,5523.8,3466.08,4648.768,16879.37,31919.66,1293.22,15081.47
2005-11-28,1257.46,14986.94,5477.4,3453.11,4665.315,16836.11,31357.55,1293.74,15100.0
2005-11-29,1257.48,14927.7,5491.0,3463.67,4639.048,16694.95,31651.55,1279.38,15028.76
2005-11-30,1249.48,14872.15,5423.2,3447.07,4634.806,16830.96,31916.76,1297.44,14937.14
2005-12-01,1264.67,15130.5,5486.1,3501.54,4580.123,17133.83,32617.18,1305.98,15068.03
2005-12-02,1265.08,15421.6,5528.1,3519.66,4623.479,17150.99,32832.45,1310.12,15200.38
2005-12-05,1262.09,15551.31,5510.4,3499.4,4624.592,17271.06,32701.17,1315.15,15158.82
2005-12-06,1263.7,15423.38,5538.8,3516.84,4616.034,17424.43,33223.42,1321.06,14990.61
2005-12-07,1257.37,15484.66,5528.8,3505.34,4623.852,17244.19,32756.79,1324.75,15134.95
2005-12-08,1255.84,15183.36,5531.1,3510.38,4577.998,17211.02,32480.04,1324.2,14879.16
2005-12-09,1259.37,15404.05,5517.4,3500.8,4580.082,17554.48,32921.76,1317.42,14910.51
2005-12-12,1260.43,15738.7,5501.5,3514.07,4611.87,17554.48,32970.6,1333.23,14984.4
2005-12-13,1267.43,15778.86,5507.2,3528.34,4587.127,17819.68,33419.65,1336.48,14942.62
2005-12-14,1272.74,15464.58,5521.1,3519.12,4617.9,18054.03,33629.47,1334.27,14976.26
2005-12-15,1270.94,15254.44,5495.3,3522.3,4627.861,17922.47,33193.27,1337.68,15059.02
2005-12-16,1267.32,15173.07,5531.6,3556.76,4644.03,17737.59,33291.82,1321.04,15029.81
2005-12-19,1259.92,15391.48,5539.8,3551.1,4655.424,17666.41,33005.27,1339.4,15182.89
2005-12-20,1259.62,15641.26,5547.9,3561.11,4672.254,17680.95,33066.53,1341.0,15169.17
2005-12-21,1262.8,15957.57,5587.4,3591.94,4718.176,17781.51,33517.05,1354.16,15221.42
2005-12-22,1268.12,15941.37,5597.0,3591.02,4707.789,17768.9,33512.86,1350.87,15182.53
2005-12-23,1268.66,15941.37,5595.4,3599.47,4727.739,17802.28,33331.26,1359.53,15183.58
2005-12-26,1268.66,16107.67,5595.4,3599.47,4727.739,17776.88,33297.52,1367.57,15183.58
2005-12-27,1256.54,15969.4,5595.4,3612.21,4727.739,17832.64,33370.73,1373.55,15183.58
2005-12-28,1258.17,16194.61,5622.8,3605.12,4755.603,17690.7,33138.48,1368.16,15101.54
2005-12-29,1254.42,16344.2,5638.3,3616.33,4772.5,17832.8,33455.94,1379.37,15045.59
2005-12-30,1248.29,16111.43,5618.8,3578.93,4763.367,17802.71,33455.94,1379.37,14876.43
2006-01-02,1248.29,16111.43,5618.8,3604.33,4763.367,17925.7,33507.27,1389.27,14876.43
2006-01-03,1268.8,16111.43,5681.5,3614.34,4775.994,18500.69,34540.58,1394.87,14944.77
2006-01-04,1273.46,16361.54,5714.6,3652.46,4820.275,18669.23,35002.37,1402.11,15200.06
2006-01-05,1273.48,16425.37,5691.2,3650.24,4813.657,18608.34,34936.11,1395.51,15271.13
2006-01-06,1285.45,16428.21,5731.8,3666.99,4791.061,18736.78,35475.02,1412.78,15344.44
2006-01-09,1290.15,16428.21,5731.5,3671.78,4831.519,18998.83,35337.33,1408.33,15547.43
2006-01-10,1289.69,16124.35,5688.8,3644.94,4816.71,18912.38,35049.42,1396.29,15569.91
2006-01-11,1294.18,16363.59,5731.5,3668.61,4838.129,19160.44,35952.24,1394.09,15650.88
2006-01-12,1286.06,16445.19,5735.1,3670.2,4836.907,18925.01,35779.3,1402.58,15719.37
2006-01-13,1287.61,16454.95,5711.0,3629.25,4836.742,18889.2,35897.12,1416.28,15787.97
2006-01-16,1287.61,16268.03,5740.2,3644.41,4836.361,18958.29,36533.68,1421.79,15777.72
2006-01-17,1282.93,15805.95,5699.0,3610.07,4866.11,18489.63,36119.37,1389.58,15576.2
2006-01-18,1277.93,15341.18,5663.7,3570.17,4786.88,18265.96,35805.19,1352.91,15481.21
2006-01-19,1285.04,15696.28,5693.2,3593.22,4840.928,18521.45,36858.19,1360.64,15670.42
2006-01-20,1261.48,15696.69,5672.4,3550.8,4854.441,18346.23,36694.65,1324.78,15662.08
2006-01-23,1263.83,15360.65,5660.9,3544.31,4812.072,18447.11,36631.75,1297.43,15464.77
2006-01-24,1266.86,15648.89,5633.8,3532.68,4824.793,18875.41,37399.67,1326.83,15530.57
2006-01-25,1264.68,15651.0,5704.4,3578.0,4861.352,18866.37,37399.67,1342.59,15520.39
2006-01-26,1273.83,15891.02,5722.6,3641.42,4861.352,19216.75,38014.36,1352.75,15520.07
2006-01-27,1283.72,16460.68,5786.8,3685.48,4919.284,18956.5,37822.22,1384.56,15753.14
2006-01-30,1285.2,16551.23,5779.8,3677.52,4943.421,18849.24,38242.04,1384.56,15753.14
2006-01-31,1280.09,16649.82,5760.3,3691.41,4929.559,18907.1,38382.8,1399.83,15753.14
2006-02-01,1282.46,16480.09,5801.6,3728.34,4956.735,19162.38,38484.84,1375.97,15742.3
2006-02-02,1270.84,16710.55,5747.3,3677.05,4905.081,19060.38,37304.19,1374.44,15691.69
2006-02-03,1264.03,16659.64,5759.3,3678.48,4883.778,18862.18,37261.73,1333.5,15429.73
2006-02-06,1265.02,16747.76,5772.4,3682.32,4915.591,18862.18,37321.2,1341.64,15548.06
2006-02-07,1254.78,16720.99,5746.8,3680.8,4905.363,18665.06,36561.7,1332.28,15517.01
2006-02-08,1265.65,16272.68,5725.1,3671.37,4831.446,18410.24,36499.41,1310.99,15373.44
2006-02-09,1263.78,16439.67,5808.7,3726.81,4877.603,18518.33,36882.31,1321.66,15413.43
2006-02-10,1266.99,16257.83,5764.1,3695.63,4871.464,18298.58,36975.27,1335.23,15425.95
2006-02-13,1262.86,15877.66,5793.5,3727.46,4817.091,17883.63,36113.95,1320.79,15312.09
2006-02-14,1275.53,16184.87,5792.3,3734.48,4864.164,18023.01,36626.88,1328.21,15420.32
2006-02-15,1280.0,15932.83,5791.5,3729.79,4835.01,18169.16,37239.3,1303.84,15423.26
2006-02-16,1289.38,16043.67,5828.9,3756.47,4820.594,18457.24,38256.39,1314.32,15450.88
2006-02-17,1287.24,15713.45,5846.2,3767.7,4799.949,18480.78,38421.83,1332.73,15475.69
2006-02-20,1287.24,15437.93,5863.0,3766.74,4835.51,18542.58,38539.18,1348.25,15598.67
2006-02-21,1283.03,15894.94,5857.7,3779.51,4879.108,18497.38,38165.97,1346.49,15627.24
2006-02-22,1292.67,15781.78,5872.4,3818.48,4886.748,18780.46,38246.4,1340.58,15635.72
2006-02-23,1287.79,16096.1,5836.0,3813.29,4913.243,19117.72,38405.48,1361.23,15812.53
2006-02-24,1289.43,16101.91,5860.5,3826.0,4893.419,19100.89,38610.39,1365.82,15856.05
2006-02-27,1294.12,16192.95,5875.9,3840.56,4924.095,18854.67,38610.39,1374.88,15949.89
2006-02-28,1280.66,16205.43,5791.5,3774.51,4921.347,18706.32,38610.39,1371.59,15918.48
2006-03-01,1291.24,15964.46,5844.1,3806.03,4850.614,19058.74,39177.87,1371.59,15818.09
2006-03-02,1289.14,15909.76,5833.0,3763.73,4903.836,19102.33,39125.84,1367.7,15882.45
2006-03-03,1287.23,15663.34,5858.7,3733.95,4898.541,19189.25,39239.75,1328.95,15802.0
2006-03-06,1278.26,15901.16,5897.8,3754.07,4903.87,18991.46,38353.98,1344.76,15811.83
2006-03-07,1275.88,15726.02,5857.4,3745.2,4879.667,18551.07,37422.58,1316.67,15602.36
2006-03-08,1278.47,15627.49,5812.9,3727.96,4872.962,18398.82,37289.08,1314.05,15493.09
2006-03-09,1272.23,16036.91,5855.9,3757.73,4894.402,18310.57,36312.27,1311.21,15510.13
2006-03-10,1281.58,16115.63,5907.9,3798.46,4888.119,18420.17,36890.69,1320.07,15445.05
2006-03-13,1284.13,16361.51,5952.8,3824.97,4951.279,18706.19,36792.98,1338.28,15542.07
2006-03-14,1297.48,16238.36,5950.6,3833.48,4932.177,18941.04,37541.49,1326.3,15519.76
2006-03-15,1303.02,16319.04,5965.1,3842.16,4946.292,18999.64,38243.99,1333.98,15720.36
2006-03-16,1305.33,16096.21,5993.2,3839.71,4977.937,19166.43,38156.64,1335.98,15729.04
2006-03-17,1307.25,16339.73,5999.4,3832.43,4971.707,19344.05,38049.17,1341.12,15801.66
2006-03-20,1305.08,16624.8,5991.7,3842.1,5000.39,19581.12,38203.53,1346.69,15929.95
2006-03-21,1297.23,16624.8,5991.3,3848.17,4991.277,19581.12,37398.01,1336.65,15922.75
