Date,EUR1M BGN Curncy
2005-10-05,1.199289
2005-10-06,1.219944
2005-10-07,1.215042
2005-10-10,1.20857
2005-10-11,1.201209
2005-10-12,1.204269
2005-10-13,1.204489
2005-10-14,1.209415
2005-10-17,1.20454
2005-10-18,1.197873
2005-10-19,1.201127
2005-10-20,1.20432
2005-10-21,1.19736
2005-10-24,1.200702
2005-10-25,1.212667
2005-10-26,1.208891
2005-10-27,1.216054
2005-10-28,1.208844
2005-10-31,1.201139
2005-11-01,1.203978
2005-11-02,1.209288
2005-11-03,1.196433
2005-11-04,1.183189
2005-11-07,1.182385
2005-11-08,1.180194
2005-11-09,1.178371
2005-11-10,1.170568
2005-11-11,1.175275
2005-11-14,1.170761
2005-11-15,1.173904
2005-11-16,1.168938
2005-11-17,1.176886
2005-11-18,1.179346
2005-11-21,1.174327
2005-11-22,1.183353
2005-11-23,1.184236
2005-11-24,1.180723
2005-11-25,1.174333
2005-11-28,1.186851
2005-11-29,1.179911
2005-11-30,1.180802
2005-12-01,1.175616
2005-12-02,1.173702
2005-12-05,1.180853
2005-12-06,1.180003
2005-12-07,1.17443
2005-12-08,1.183762
2005-12-09,1.183155
2005-12-12,1.197573
2005-12-13,1.196604
2005-12-14,1.202047
2005-12-15,1.199881
2005-12-16,1.203287
2005-12-19,1.202749
2005-12-20,1.187921
2005-12-21,1.185655
2005-12-22,1.188765
2005-12-23,1.189003
2005-12-26,1.18658
2005-12-27,1.184731
2005-12-28,1.185325
2005-12-29,1.185959
2005-12-30,1.186864
2006-01-02,1.184186
2006-01-03,1.20395
2006-01-04,1.213976
2006-01-05,1.213095
2006-01-06,1.217212
2006-01-09,1.211046
2006-01-10,1.20868
2006-01-11,1.214922
2006-01-12,1.205742
2006-01-13,1.216363
2006-01-16,1.215075
2006-01-17,1.212907
2006-01-18,1.213503
2006-01-19,1.211897
2006-01-20,1.21571
2006-01-23,1.233091
2006-01-24,1.230319
2006-01-25,1.226238
2006-01-26,1.222835
2006-01-27,1.211443
