Date,EURUSD CURNCY,GBPUSD Curncy,USDJPY Curncy,AUDUSD Curncy,USDNZD Curncy,CADUSD Curncy,USDCHF Curncy,USDNOK Curncy,USDSEK Curncy,USDMXN BGN Curncy,USDBRL BGN Curncy,USDZAR Curncy,USDTRY Curncy,USDINR Curncy,USDKRW Curncy
2005-10-05,1.1975,1.7624,114.01,0.7564,1.4425,0.8458,1.2929,6.585,7.7709,10.7165,2.2678,6.5263,1.3525,44.2875,1039.5
2005-10-06,1.2179,1.7789,113.3,0.7584,1.4335,0.8468,1.2708,6.4836,7.6573,10.8335,2.2905,6.537,1.3595,44.2788,1042.0
2005-10-07,1.213,1.7617,113.82,0.757,1.4372,0.8516,1.2778,6.5195,7.6947,10.7943,2.2499,6.5288,1.349,44.395,1037.5
2005-10-10,1.2066,1.7564,114.11,0.7592,1.4317,0.8504,1.2833,6.5261,7.7377,10.7908,2.2415,6.4945,1.3503,44.755,1038.1
2005-10-11,1.1993,1.7464,114.57,0.7524,1.4454,0.8503,1.2895,6.5223,7.7911,10.8153,2.2335,6.535,1.3473,44.875,1041.5
2005-10-12,1.2024,1.7517,114.39,0.7549,1.435,0.8543,1.2875,6.4979,7.7875,10.9285,2.2545,6.5748,1.3615,44.875,1043.2
2005-10-13,1.2026,1.7568,114.51,0.7508,1.4434,0.8451,1.2891,6.5135,7.8351,10.9535,2.2685,6.5773,1.369,44.9488,1047.9
2005-10-14,1.2075,1.7684,114.09,0.7523,1.436,0.8426,1.2851,6.4737,7.835,10.8915,2.245,6.56,1.3676,44.8463,1042.8
2005-10-17,1.2025,1.7542,114.93,0.75,1.4351,0.8477,1.2924,6.49,7.8685,10.8467,2.236,6.5468,1.361,44.8775,1047.5
2005-10-18,1.1959,1.7511,115.71,0.7479,1.4388,0.8492,1.2984,6.5353,7.9026,10.86,2.242,6.5875,1.3646,45.1688,1051.7
2005-10-19,1.1992,1.7654,115.44,0.7502,1.4312,0.8508,1.2949,6.5003,7.8773,10.8385,2.2383,6.565,1.3678,45.1663,1053.4
2005-10-20,1.2023,1.7745,115.31,0.753,1.4255,0.8487,1.2877,6.4707,7.8854,10.8698,2.2595,6.615,1.3631,45.225,1054.5
2005-10-21,1.1954,1.7685,115.91,0.749,1.4281,0.8419,1.2921,6.5213,7.9696,10.8743,2.265,6.6125,1.3634,45.075,1058.5
2005-10-24,1.1986,1.7691,115.45,0.7516,1.4214,0.843,1.2871,6.5355,7.956,10.8505,2.261,6.6223,1.3593,45.1588,1055.5
2005-10-25,1.2106,1.7845,115.04,0.7568,1.4182,0.8511,1.2766,6.458,7.855,10.873,2.2635,6.615,1.3536,45.075,1048.5
2005-10-26,1.2069,1.7747,115.86,0.7548,1.425,0.8547,1.283,6.4709,7.8857,10.9044,2.2868,6.6955,1.3563,45.07,1042.8
2005-10-27,1.2141,1.7834,115.44,0.757,1.4148,0.8527,1.2733,6.4232,7.8498,10.899,2.2895,6.7264,1.3513,45.0875,1041.3
2005-10-28,1.2069,1.7739,115.67,0.7493,1.4218,0.8494,1.2804,6.4817,7.8979,10.8245,2.265,6.7025,1.3523,45.0825,1043.35
2005-10-31,1.1992,1.77,116.4,0.7482,1.4281,0.8458,1.2886,6.5009,7.9602,10.787,2.2518,6.7025,1.3513,45.1637,1040.5
2005-11-01,1.2019,1.7652,116.74,0.7444,1.4333,0.8508,1.2882,6.4802,7.9839,10.7625,2.243,6.6685,1.3515,45.085,1041.5
2005-11-02,1.2073,1.7767,116.88,0.7429,1.4438,0.8477,1.2782,6.4597,7.9784,10.7375,2.2385,6.6433,1.3463,45.2925,1039.5
2005-11-03,1.1945,1.7708,117.23,0.7394,1.4519,0.8464,1.2918,6.5295,8.0415,10.762,2.222,6.64,1.349,45.29,1043.5
2005-11-04,1.1813,1.7497,118.34,0.7332,1.4641,0.8448,1.3074,6.5931,8.1232,10.7538,2.212,6.695,1.359,45.54,1047.5
2005-11-07,1.1805,1.7441,117.68,0.733,1.4713,0.8427,1.3059,6.5932,8.1416,10.7078,2.2065,6.7427,1.3598,45.905,1049.5
2005-11-08,1.1782,1.7444,117.3,0.7346,1.4632,0.8442,1.3111,6.605,8.1004,10.712,2.1935,6.7425,1.3608,45.825,1046.0
2005-11-09,1.1765,1.7434,117.52,0.7366,1.4562,0.8425,1.3108,6.5792,8.1706,10.7323,2.1755,6.755,1.3599,45.705,1046.3
2005-11-10,1.1687,1.7412,118.21,0.7301,1.4583,0.8396,1.3155,6.6049,8.2378,10.6865,2.1635,6.77,1.3643,45.8,1045.1
2005-11-11,1.1734,1.7424,118.02,0.733,1.4556,0.8406,1.3108,6.6026,8.1553,10.6778,2.1615,6.7529,1.362,45.685,1041.3
2005-11-14,1.1689,1.7369,118.79,0.7271,1.4723,0.8382,1.3181,6.6566,8.1965,10.6672,2.209,6.783,1.3653,45.8,1037.5
2005-11-15,1.1719,1.7354,118.91,0.7334,1.4592,0.8384,1.3166,6.6691,8.2225,10.6445,2.2095,6.7825,1.356,45.75,1035.35
2005-11-16,1.167,1.7166,119.19,0.7307,1.4616,0.8376,1.3256,6.6966,8.2466,10.6698,2.2015,6.727,1.3578,45.765,1036.5
2005-11-17,1.175,1.7193,118.83,0.7338,1.4535,0.8421,1.3171,6.6982,8.1839,10.6461,2.1945,6.6993,1.3538,45.845,1033.5
2005-11-18,1.1775,1.7179,119.11,0.7333,1.4547,0.8411,1.3141,6.6976,8.1504,10.6628,2.226,6.67,1.367,45.75,1036.35
2005-11-21,1.1725,1.7155,119.04,0.7361,1.452,0.8457,1.32,6.715,8.1695,10.6483,2.22,6.6445,1.3655,45.755,1038.45
2005-11-22,1.1814,1.7224,118.74,0.7376,1.4446,0.8517,1.3109,6.6661,8.0805,10.6245,2.248,6.5932,1.3645,45.77,1043.5
2005-11-23,1.1823,1.7239,118.74,0.7377,1.441,0.8531,1.3111,6.6611,8.0356,10.6075,2.239,6.535,1.358,45.77,1035.5
2005-11-24,1.1789,1.7228,118.93,0.7389,1.4384,0.8534,1.3155,6.6875,8.0577,10.6108,2.2405,6.5315,1.3543,45.7038,1037.7
2005-11-25,1.1725,1.7142,119.63,0.7358,1.4304,0.8552,1.3186,6.7133,8.087,10.6088,2.234,6.5163,1.3578,45.825,1041.5
2005-11-28,1.185,1.7296,118.83,0.7417,1.419,0.8565,1.3052,6.6619,7.9765,10.5568,2.198,6.485,1.3551,45.9688,1038.9
2005-11-29,1.1779,1.718,119.67,0.7379,1.4276,0.8554,1.3139,6.7466,8.093,10.5885,2.1873,6.4936,1.358,45.9,1036.5
2005-11-30,1.1788,1.7293,119.81,0.738,1.4231,0.8579,1.3152,6.7398,8.0781,10.558,2.2035,6.4625,1.3553,45.9288,1033.7
2005-12-01,1.1737,1.7315,120.64,0.742,1.4201,0.8574,1.3177,6.7622,8.0963,10.5033,2.2248,6.4563,1.3593,45.96,1035.0
2005-12-02,1.1718,1.7328,120.59,0.748,1.4035,0.8602,1.317,6.7643,8.0436,10.4709,2.2088,6.353,1.356,46.17,1038.0
2005-12-05,1.1788,1.7421,120.82,0.7517,1.3919,0.8642,1.3071,6.6792,8.012,10.4619,2.1952,6.3287,1.3555,46.31,1036.4
2005-12-06,1.178,1.7407,120.89,0.753,1.3939,0.864,1.307,6.7574,7.9719,10.4217,2.1755,6.2815,1.3538,46.185,1034.5
