Date,JPEASIGL INDEX,JPEASIUS INDEX,JPEASIEU INDEX,JPEASICN INDEX,JPEASISE INDEX,JPEASIAU INDEX,JPEASINO INDEX,JPEASICA INDEX,JPEASIJP INDEX,JPEASIUK INDEX,JPEASINZ INDEX,JPEASISZ INDEX
2005-10-05,,-9.091,23.53,100.0,33.33,0.0,33.33,-66.67,-50.0,0.0,100.0,60.0
2005-10-06,,-12.121,27.27,100.0,33.33,0.0,33.33,-66.67,-50.0,0.0,100.0,60.0
2005-10-07,,-12.5,25.0,100.0,33.33,0.0,33.33,-66.67,-50.0,0.0,100.0,50.0
2005-10-10,,-12.5,28.57,100.0,20.0,0.0,33.33,-66.67,0.0,0.0,100.0,50.0
2005-10-11,,-12.5,28.57,25.0,0.0,25.0,33.33,-66.67,0.0,0.0,100.0,50.0
2005-10-12,,-12.5,33.33,25.0,-20.0,20.0,0.0,-50.0,0.0,0.0,100.0,40.0
2005-10-13,,-10.714,39.39,25.0,-20.0,11.11,0.0,-50.0,0.0,0.0,100.0,25.0
2005-10-14,,-25.0,39.39,25.0,-20.0,11.11,0.0,-50.0,0.0,0.0,100.0,25.0
2005-10-17,,-25.0,39.39,25.0,-20.0,12.5,0.0,-50.0,0.0,0.0,100.0,25.0
2005-10-18,,-25.0,37.5,25.0,-20.0,0.0,0.0,-50.0,0.0,0.0,100.0,25.0
2005-10-19,,-20.69,40.63,25.0,-20.0,0.0,0.0,-50.0,0.0,0.0,100.0,25.0
2005-10-20,,-19.355,40.0,20.0,-50.0,0.0,0.0,-50.0,0.0,14.29,100.0,33.33
2005-10-21,,-19.355,43.33,20.0,-50.0,0.0,0.0,-66.67,0.0,14.29,100.0,33.33
2005-10-24,,-19.355,45.16,-33.33,-50.0,0.0,0.0,-66.67,0.0,14.29,100.0,33.33
2005-10-25,,-16.129,48.48,-33.33,-50.0,0.0,0.0,-66.67,0.0,14.29,100.0,33.33
2005-10-26,,-16.129,47.06,-33.33,-50.0,0.0,0.0,-66.67,0.0,20.0,100.0,33.33
2005-10-27,,-9.375,51.52,-33.33,-33.33,0.0,0.0,-66.67,50.0,50.0,100.0,33.33
2005-10-28,,-6.25,48.65,-33.33,-33.33,0.0,0.0,-66.67,50.0,50.0,100.0,25.0
2005-10-31,,0.0,44.74,-33.33,-33.33,0.0,50.0,-25.0,50.0,50.0,100.0,25.0
2005-11-01,,2.778,48.65,-33.33,-14.29,0.0,50.0,-25.0,50.0,50.0,100.0,20.0
2005-11-02,,2.778,45.95,-33.33,-14.29,0.0,50.0,-33.33,50.0,50.0,100.0,20.0
2005-11-03,,0.0,44.44,-33.33,-14.29,0.0,50.0,-33.33,50.0,50.0,100.0,20.0
2005-11-04,,2.778,42.11,-33.33,-14.29,0.0,50.0,-33.33,50.0,50.0,100.0,20.0
2005-11-07,,2.778,43.59,-33.33,-14.29,0.0,50.0,-33.33,50.0,50.0,100.0,33.33
2005-11-08,,2.778,38.89,-33.33,-14.29,12.5,50.0,-33.33,50.0,50.0,100.0,33.33
2005-11-09,,0.0,38.89,-33.33,-14.29,10.0,50.0,-33.33,50.0,33.33,100.0,40.0
2005-11-10,,3.03,36.11,-20.0,-14.29,0.0,50.0,-33.33,100.0,33.33,100.0,40.0
2005-11-11,,3.03,37.93,-20.0,-14.29,0.0,100.0,0.0,100.0,33.33,100.0,40.0
2005-11-14,,0.0,33.33,-20.0,-14.29,0.0,100.0,0.0,100.0,33.33,100.0,25.0
2005-11-15,,3.333,30.0,-20.0,-14.29,12.5,100.0,0.0,100.0,33.33,100.0,25.0
2005-11-16,,3.333,27.59,-20.0,-14.29,12.5,100.0,0.0,100.0,0.0,100.0,25.0
2005-11-17,,3.226,27.59,-20.0,-14.29,12.5,100.0,0.0,100.0,0.0,100.0,25.0
2005-11-18,,3.226,27.59,-20.0,-14.29,12.5,100.0,0.0,100.0,0.0,100.0,33.33
2005-11-21,,6.25,23.08,-20.0,-14.29,14.29,100.0,33.33,100.0,0.0,100.0,33.33
2005-11-22,,6.25,21.43,0.0,-14.29,14.29,100.0,33.33,100.0,0.0,100.0,33.33
2005-11-23,,17.241,24.14,0.0,-14.29,20.0,100.0,33.33,100.0,0.0,100.0,33.33
2005-11-24,,17.241,12.9,0.0,-14.29,20.0,100.0,33.33,100.0,0.0,100.0,33.33
2005-11-25,,17.241,12.5,0.0,-14.29,20.0,100.0,33.33,100.0,0.0,100.0,50.0
2005-11-28,,16.667,12.5,0.0,-14.29,20.0,100.0,33.33,0.0,0.0,100.0,50.0
2005-11-29,,24.242,9.38,0.0,-14.29,16.67,100.0,33.33,0.0,0.0,100.0,50.0
2005-11-30,,21.212,2.7,0.0,-14.29,16.67,100.0,0.0,0.0,0.0,100.0,50.0
2005-12-01,,20.0,-5.26,0.0,-14.29,12.5,100.0,0.0,0.0,-33.33,100.0,40.0
