Date,EURUSD25R3M CURNCY,GBPUSD25R3M CURNCY,USDJPY25R3M CURNCY,AUDUSD25R3M CURNCY,NZDUSD25R3M CURNCY,USDCAD25R3M CURNCY,USDCHF25R3M CURNCY,USDNOK25R3M CURNCY,USDSEK25R3M CURNCY,USDMXN25R3M CURNCY,USDBRL25R3M CURNCY,USDZAR25R3M CURNCY,USDTRY25R3M CURNCY,USDINR25R3M CURNCY,USDKRW25R3M CURNCY
2005-10-05,-0.2,-0.25,-0.55,-0.525,-0.55,-0.275,0.1,0.4,-0.2,1.3,,2.25,,0.5,0.35
2005-10-06,-0.2,-0.25,-0.55,-0.525,-0.55,-0.3,0.1,0.4,-0.2,1.3,,2.2,,0.5,0.3
2005-10-07,-0.3,-0.2,-0.65,-0.525,-0.53,-0.225,0.05,0.4,-0.2,1.22,,2.05,,0.5,0.3
2005-10-10,-0.1,-0.2,-0.6,-0.525,-0.55,-0.225,0.05,0.4,-0.2,1.22,,2.25,,0.5,0.3
2005-10-11,-0.1,-0.2,-0.55,-0.525,-0.6,-0.225,0.05,0.4,-0.2,1.3,,2.25,,0.15,0.3
2005-10-12,-0.1,-0.2,-0.55,-0.525,-0.6,-0.45,0.075,0.4,-0.2,1.3,,2.05,,0.5,0.3
2005-10-13,-0.15,-0.25,-0.6,-0.575,-0.525,-0.28,0.075,0.4,-0.2,1.3,,2.05,,0.5,0.3
2005-10-14,-0.2,-0.25,-0.55,-0.575,-0.65,-0.28,0.075,0.4,-0.2,1.22,,2.25,,0.5,0.3
2005-10-17,-0.3,-0.25,-0.55,-0.575,-0.65,-0.225,0.075,0.4,-0.2,1.3,,2.25,,0.5,0.3
2005-10-18,-0.2,-0.25,-0.4,-0.575,-0.65,-0.175,0.075,0.4,-0.2,1.3,,2.25,,0.5,0.3
2005-10-19,-0.3,-0.25,-0.4,-0.55,-0.55,-0.175,0.1,0.4,-0.2,1.3,,2.05,,0.5,0.525
2005-10-20,-0.2,-0.25,-0.4,-0.525,-0.65,-0.175,0.1,0.4,-0.2,1.3,,2.25,,0.5,1.05
2005-10-21,-0.15,-0.25,-0.4,-0.525,-0.55,-0.35,0.1,0.15,-0.2,1.22,,2.05,,0.5,0.6
2005-10-24,-0.15,-0.25,-0.4,-0.525,-0.65,-0.225,0.1,0.15,-0.2,1.3,,2.25,,0.5,0.6
2005-10-25,-0.15,-0.25,-0.4,-0.525,-0.65,-0.3,0.1,0.15,-0.2,1.3,,2.25,,0.5,0.6
2005-10-26,-0.1,-0.25,-0.4,-0.475,-0.55,-0.125,0.1,0.15,-0.2,1.3,,2.25,,0.5,0.6
2005-10-27,-0.1,-0.25,-0.45,-0.475,-0.55,-0.125,0.1,0.15,-0.2,1.3,,2.35,,0.5,0.6
2005-10-28,-0.1,-0.4,-0.5,-0.5,-0.525,-0.125,0.1,0.15,-0.2,1.22,,2.35,,0.5,0.6
2005-10-31,-0.1,-0.15,-0.5,-0.475,-0.6,-0.125,0.1,0.15,-0.2,1.2,,2.25,,0.5,0.5
2005-11-01,-0.1,-0.15,-0.45,-0.525,-0.6,-0.125,0.1,0.15,-0.2,1.3,,2.35,,0.5,0.6
2005-11-02,-0.1,-0.15,-0.45,-0.525,-0.65,-0.15,0.1,0.15,-0.2,1.25,,2.15,,0.5,0.6
2005-11-03,-0.1,-0.3,-0.45,-0.525,-0.65,-0.125,0.1,0.15,-0.2,1.3,,2.15,,0.5,0.6
2005-11-04,-0.15,-0.3,-0.4,-0.575,-0.65,-0.125,0.1,0.15,-0.2,1.3,,2.0,,0.5,0.5
2005-11-07,-0.2,-0.25,-0.45,-0.675,-0.65,-0.15,0.35,0.15,-0.2,1.3,,2.05,,0.5,0.6
2005-11-08,-0.25,-0.2,-0.4,-0.675,-0.7,-0.025,0.15,0.15,-0.2,1.3,,2.0,,0.5,0.6
2005-11-09,-0.25,-0.2,-0.4,-0.625,-0.65,-0.025,0.15,0.3,-0.2,1.3,,2.0,,0.5,0.6
2005-11-10,-0.25,-0.2,-0.45,-0.625,-0.65,-0.025,0.15,0.3,-0.2,1.3,,2.0,,0.5,0.6
