,LIVE CATTLE,LEAN HOGS,COFFEE 'C',CORN,COTTON NO.2,SOYBEAN,SUGAR #11,WHEAT FUTURE,BRENT CRUDE,COPPER FUTURE,GASOLINE RBOB,GOLD 100 OZ,NATURAL GAS,SILVER,PLATINUM,WTI CRUDE,LME NICKEL,LME COPPER,LME ALUMINIUM,LME LEAD,LME ZINC,COCOA,HEATING OIL
LIVE CATTLE,1.0,0.2878875427909346,0.10577259513311732,0.14425691526422416,0.1093370794788861,0.14477885914008,0.12483845960892836,0.1204526540708778,0.13700826946384734,0.15047763837776937,0.12161463610104087,0.01984369482071608,0.058023823706766765,0.08185411937170788,0.07907977618429538,0.14366657498346264,0.08167019834252932,0.1336438708306257,0.11340092956807794,0.08702146822060257,0.08904064334778963,0.08773609557146606,0.11608607282767751
LEAN HOGS,0.2878875427909346,1.0,0.0686516147696394,0.09896386946383202,0.06955894320531215,0.11671867490556709,0.0718086514796107,0.09263464945759058,0.10346625597159372,0.10221427302901419,0.08006822975209169,0.02222004546955839,0.025120838874085467,0.05396250852917794,0.053306102181967165,0.10845269265318583,0.0847934965583866,0.09473920839453759,0.08367836009641218,0.0980524401170849,0.09674710757785712,0.041131755028582934,0.10066741589781425
COFFEE 'C',0.10577259513311732,0.0686516147696394,1.0,0.20177992144137066,0.2020084974133546,0.23652367979543124,0.2840095963631787,0.20327431958858938,0.2076054966195776,0.2203663052855701,0.1652047999225249,0.173590917958047,0.09102817946969674,0.22465537420348575,0.22028858374231491,0.21637583942472466,0.17705145462214922,0.21272405338350098,0.1875907160492942,0.16841311401953252,0.1856030445385712,0.192976216754714,0.19349990400434786
CORN,0.14425691526422416,0.09896386946383202,0.20177992144137066,1.0,0.285829024332673,0.635123365787545,0.24322310543938738,0.6535310383798788,0.26033626412496275,0.24589050050290806,0.23234714415818633,0.18300913480762168,0.11352817650027779,0.22663362156881237,0.1984259997028116,0.25625500804461526,0.19532102561403816,0.23020458718375192,0.20788134429612298,0.16944513258349794,0.18839678888291428,0.1302567984006605,0.24767451999823534
COTTON NO.2,0.1093370794788861,0.06955894320531215,0.2020084974133546,0.285829024332673,1.0,0.3230720415000045,0.22330354124428303,0.26889834885603775,0.25152645092209636,0.2826955427264753,0.2183274432720938,0.15087882536715036,0.05622545257766976,0.21375908845200625,0.22425881494034067,0.2410267211031583,0.22549054746179079,0.2720768925096331,0.2215884171055,0.20045976071729138,0.2097970904423418,0.1579049604755122,0.2386865827548036
SOYBEAN,0.14477885914008,0.11671867490556709,0.23652367979543124,0.635123365787545,0.3230720415000045,1.0,0.24257909413699666,0.4887761542993383,0.32167240207730446,0.3307185938130753,0.2827575122811718,0.19974388939806456,0.1273041189348054,0.2825852435474956,0.25959374819292397,0.31467014799493565,0.2470919841084177,0.3024240506602479,0.26051352759730306,0.24344562842563633,0.25552032152231074,0.16284995318204218,0.3175339653507696
SUGAR #11,0.12483845960892836,0.0718086514796107,0.2840095963631787,0.24322310543938738,0.22330354124428303,0.24257909413699666,1.0,0.2183769349382123,0.22384669626579823,0.24776813646619295,0.19184740962605457,0.14359140216439437,0.07225732417164007,0.1896530937582804,0.19012350027690295,0.2351585794156007,0.1823137215771334,0.22827932717615537,0.1969295452232546,0.17240306328298932,0.17929453872018458,0.1755169749570301,0.20724713678356368
WHEAT FUTURE,0.1204526540708778,0.09263464945759058,0.20327431958858938,0.6535310383798788,0.26889834885603775,0.4887761542993383,0.2183769349382123,1.0,0.22972132442840715,0.2185284633311647,0.20255600796526685,0.16191511791896418,0.0880478435441012,0.19763672174450025,0.17806926419402644,0.22282928558359616,0.16721981167084138,0.21156910517913455,0.17674051800831006,0.14834397575179756,0.1656055724258536,0.13768932448597274,0.21472252693091703
BRENT CRUDE,0.13700826946384734,0.10346625597159372,0.2076054966195776,0.26033626412496275,0.25152645092209636,0.32167240207730446,0.22384669626579823,0.22972132442840715,1.0,0.399952296413984,0.8396498902527573,0.22911755652256233,0.19203142108354035,0.3048379111860288,0.31022304921511223,0.9109609180836368,0.31313069836512825,0.3779359865280208,0.3247850379929996,0.2755308537783326,0.29397650210380405,0.20048027186283013,0.9042436592370171
COPPER FUTURE,0.15047763837776937,0.10221427302901419,0.2203663052855701,0.24589050050290806,0.2826955427264753,0.3307185938130753,0.24776813646619295,0.2185284633311647,0.399952296413984,1.0,0.3568172437668156,0.35837306585632583,0.09271015031588394,0.45919127993629655,0.423165082042235,0.4093446496259534,0.5896740398246288,0.9244806501917345,0.6249206517253834,0.5953142385995404,0.6776888310185952,0.2062738596431481,0.37465612875296384
GASOLINE RBOB,0.12161463610104087,0.08006822975209169,0.1652047999225249,0.23234714415818633,0.2183274432720938,0.2827575122811718,0.19184740962605457,0.20255600796526685,0.8396498902527573,0.3568172437668156,1.0,0.1969733319166908,0.1898770906896307,0.2623514514594718,0.27256692150466255,0.7925968020493549,0.2725222874834835,0.3369990767208004,0.2868125842198802,0.25433378509678267,0.2607512578657,0.17935103490602256,0.8268374605195542
GOLD 100 OZ,0.01984369482071608,0.02222004546955839,0.173590917958047,0.18300913480762168,0.15087882536715036,0.19974388939806456,0.14359140216439437,0.16191511791896418,0.22911755652256233,0.35837306585632583,0.1969733319166908,1.0,0.04893559561941669,0.8118767857111375,0.6398779992020656,0.233021956993024,0.23394247589659592,0.32713018257836846,0.2904848713060149,0.24952085982002492,0.28607465487208567,0.177387855643625,0.22479353858472959
NATURAL GAS,0.058023823706766765,0.025120838874085467,0.09102817946969674,0.11352817650027779,0.05622545257766976,0.1273041189348054,0.07225732417164007,0.0880478435441012,0.19203142108354035,0.09271015031588394,0.1898770906896307,0.04893559561941669,1.0,0.0802680898302073,0.06517598432195519,0.2053659562248749,0.06398289390549704,0.0911870590333614,0.10127805251256439,0.05952212987618849,0.05613141751233794,0.06852162212798296,0.23048834278455801
SILVER,0.08185411937170788,0.05396250852917794,0.22465537420348575,0.22663362156881237,0.21375908845200625,0.2825852435474956,0.1896530937582804,0.19763672174450025,0.3048379111860288,0.45919127993629655,0.2623514514594718,0.8118767857111375,0.0802680898302073,1.0,0.6542185132916255,0.3043695522293733,0.31283748443013853,0.428772081970587,0.36660690857897144,0.3283313188737147,0.3659539244415154,0.21459508531506807,0.29313047863379726
PLATINUM,0.07907977618429538,0.053306102181967165,0.22028858374231491,0.1984259997028116,0.22425881494034067,0.25959374819292397,0.19012350027690295,0.17806926419402644,0.31022304921511223,0.423165082042235,0.27256692150466255,0.6398779992020656,0.06517598432195519,0.6542185132916255,1.0,0.2988533926892245,0.3206808257036069,0.41118041179893877,0.3717022033983811,0.33709810249991773,0.35767549756810485,0.22201926303467645,0.2942107833047499
WTI CRUDE,0.14366657498346264,0.10845269265318583,0.21637583942472466,0.25625500804461526,0.2410267211031583,0.31467014799493565,0.2351585794156007,0.22282928558359616,0.9109609180836368,0.4093446496259534,0.7925968020493549,0.233021956993024,0.2053659562248749,0.3043695522293733,0.2988533926892245,1.0,0.3120313906022664,0.3811393399294222,0.32533342349727334,0.29612771671498667,0.2918165476977315,0.21113483564859772,0.851661148787125
