Commodity,Sector,Ann_Mean_pct,Ann_Vol_pct,Sharpe,Max_DD_pct,Skewness,Excess_Kurtosis,Corr_EW_Factor
LIVE CATTLE,Agri & livestock,-1.83,14.82,-0.124,-52.36,-0.014,1.064,0.247
LEAN HOGS,Agri & livestock,-11.92,25.12,-0.475,-90.05,0.127,1.246,0.219
COFFEE 'C',Agri & livestock,-3.66,29.66,-0.123,-87.17,0.163,1.972,0.412
CORN,Agri & livestock,0.71,27.48,0.026,-74.24,0.103,2.401,0.501
COTTON NO.2,Agri & livestock,0.39,24.89,0.016,-68.26,-0.032,1.681,0.442
SOYBEAN,Agri & livestock,6.18,22.58,0.274,-52.75,-0.112,2.666,0.557
SUGAR #11,Agri & livestock,-2.05,31.23,-0.066,-81.23,-0.118,2.238,0.424
WHEAT FUTURE,Agri & livestock,-4.66,31.03,-0.15,-92.07,0.132,1.81,0.459
BRENT CRUDE,Energy,2.32,32.6,0.071,-87.52,0.141,4.237,0.723
COPPER FUTURE,Metals,5.91,27.92,0.212,-68.65,0.098,4.29,0.742
GASOLINE RBOB,Energy,10.47,34.8,0.301,-78.55,0.037,3.205,0.661
GOLD 100 OZ,Metals,7.75,18.06,0.429,-45.73,-0.214,5.832,0.484
NATURAL GAS,Energy,-26.28,46.59,-0.564,-99.6,0.285,2.72,0.306
SILVER,Metals,8.9,31.93,0.279,-74.32,-0.64,6.561,0.596
PLATINUM,Metals,1.49,22.46,0.066,-70.03,-0.37,3.515,0.57
WTI CRUDE,Energy,-3.23,35.62,-0.091,-91.75,0.228,4.726,0.719
LME NICKEL,Metals,6.69,35.42,0.189,-85.28,0.13,2.89,0.609
LME COPPER,Metals,6.91,27.15,0.254,-67.41,0.141,4.464,0.733
LME ALUMINIUM,Metals,2.15,21.61,0.099,-61.17,-0.055,1.97,0.632
LME LEAD,Metals,10.15,32.75,0.31,-78.15,-0.021,3.352,0.605
LME ZINC,Metals,7.96,30.99,0.257,-76.41,-0.017,2.269,0.644
COCOA,Agri & livestock,3.94,27.02,0.146,-55.87,-0.123,2.337,0.365
HEATING OIL,Energy,0.04,30.24,0.001,-82.54,0.084,2.82,0.7
