fast_window,slow_window,slope_lookback,bb_std,vol_window,Ann. Return %,Ann. Vol %,Sharpe,Max DD %,Calmar,Hit Rate,Skewness
75,150,63,2.5,21,15.24,24.11,0.632,-45.65,0.334,0.398,-0.073
75,150,63,2.5,84,15.26,24.19,0.631,-45.29,0.337,0.399,-0.068
75,150,63,2.5,63,15.22,24.17,0.63,-45.26,0.336,0.399,-0.069
75,150,63,2.2,84,14.29,23.18,0.616,-35.69,0.4,0.361,0.082
75,150,63,2.2,63,14.26,23.17,0.615,-35.77,0.399,0.36,0.082
75,150,63,2.2,21,14.15,23.14,0.612,-36.23,0.391,0.36,0.08
30,150,63,2.2,21,13.39,22.57,0.593,-43.41,0.308,0.399,0.21
30,150,63,2.2,63,13.35,22.58,0.591,-43.39,0.308,0.399,0.216
30,150,63,2.2,84,13.35,22.58,0.591,-43.5,0.307,0.399,0.217
30,150,63,2.5,21,12.87,22.23,0.579,-34.73,0.371,0.417,0.092
30,150,63,2.5,84,12.61,22.29,0.566,-34.67,0.364,0.419,0.1
30,150,63,2.5,63,12.6,22.28,0.566,-34.73,0.363,0.418,0.099
20,200,10,1.5,21,11.53,20.84,0.553,-35.73,0.323,0.368,0.334
20,200,10,1.5,84,11.46,20.84,0.55,-35.76,0.32,0.369,0.34
20,200,10,1.5,63,11.45,20.84,0.549,-35.83,0.32,0.369,0.339
30,200,63,2.5,21,10.46,19.68,0.531,-40.06,0.261,0.401,-0.054
30,200,63,2.5,63,10.2,19.75,0.517,-39.83,0.256,0.401,-0.049
30,200,63,2.5,84,10.19,19.78,0.515,-39.49,0.258,0.402,-0.047
30,200,10,2.5,21,10.65,21.2,0.503,-38.4,0.277,0.423,-0.138
30,200,10,2.5,84,10.6,21.22,0.5,-37.71,0.281,0.425,-0.135
30,200,10,2.5,63,10.53,21.21,0.497,-37.94,0.278,0.425,-0.136
75,200,10,2.5,21,11.24,22.62,0.497,-41.29,0.272,0.409,-0.115
75,200,10,2.5,84,11.22,22.71,0.494,-41.78,0.269,0.405,-0.108
75,200,10,2.5,63,11.22,22.69,0.494,-41.63,0.27,0.406,-0.111
75,200,63,2.5,21,10.26,20.91,0.491,-47.12,0.218,0.368,0.126
50,150,63,2.2,21,10.95,22.56,0.485,-44.77,0.245,0.365,0.179
75,200,63,2.5,63,10.15,21.0,0.483,-47.19,0.215,0.368,0.127
75,200,63,2.5,84,10.13,21.03,0.482,-47.31,0.214,0.369,0.128
30,200,21,1.5,21,9.78,20.32,0.481,-36.52,0.268,0.32,0.424
50,150,63,2.2,63,10.84,22.57,0.48,-45.38,0.239,0.364,0.187
30,200,21,1.5,63,9.75,20.32,0.48,-36.43,0.268,0.32,0.425
50,150,63,2.2,84,10.83,22.58,0.479,-45.52,0.238,0.364,0.188
30,200,21,1.5,84,9.73,20.32,0.479,-36.51,0.267,0.32,0.425
50,200,63,2.5,21,9.89,21.11,0.469,-44.02,0.225,0.377,0.119
75,200,21,2.5,84,10.37,22.59,0.459,-53.05,0.195,0.385,-0.146
75,200,21,2.5,63,10.35,22.56,0.459,-53.23,0.194,0.385,-0.147
75,200,21,2.5,21,10.29,22.49,0.458,-53.31,0.193,0.386,-0.15
50,200,63,2.5,63,9.65,21.17,0.456,-44.6,0.216,0.377,0.123
50,200,63,2.5,84,9.64,21.19,0.455,-44.81,0.215,0.377,0.125
