,Days Long,Days Short,Days Flat,% Long,% Short
LIVE CATTLE,21,104,3590,0.6,2.8
LEAN HOGS,108,157,3450,2.9,4.2
COFFEE 'C',37,103,3575,1.0,2.8
CORN,44,246,3425,1.2,6.6
COTTON NO.2,96,42,3577,2.6,1.1
SOYBEAN,46,94,3575,1.2,2.5
SUGAR #11,41,199,3475,1.1,5.4
WHEAT FUTURE,60,180,3475,1.6,4.8
BRENT CRUDE,292,102,3321,7.9,2.7
COPPER FUTURE,87,136,3492,2.3,3.7
GASOLINE RBOB,169,51,3495,4.5,1.4
GOLD 100 OZ,54,57,3604,1.5,1.5
NATURAL GAS,88,384,3243,2.4,10.3
SILVER,73,119,3523,2.0,3.2
PLATINUM,92,179,3444,2.5,4.8
WTI CRUDE,147,200,3368,4.0,5.4
LME NICKEL,98,258,3359,2.6,6.9
LME COPPER,94,117,3504,2.5,3.1
LME ALUMINIUM,113,113,3489,3.0,3.0
LME LEAD,178,81,3456,4.8,2.2
LME ZINC,72,157,3486,1.9,4.2
COCOA,157,92,3466,4.2,2.5
HEATING OIL,165,95,3455,4.4,2.6
