Commodity,LIVE CATTLE,LEAN HOGS,COFFEE 'C',CORN,COTTON NO.2,SOYBEAN,SUGAR #11,WHEAT FUTURE,BRENT CRUDE,COPPER FUTURE,GASOLINE RBOB,GOLD 100 OZ,NATURAL GAS,SILVER,PLATINUM,WTI CRUDE,LME NICKEL,LME COPPER,LME ALUMINIUM,LME LEAD,LME ZINC,COCOA,HEATING OIL
LIVE CATTLE,1.0,0.3007271836778496,0.04112444316272158,0.0951821726151732,0.06375802044193869,0.11042625456293269,0.0430638860295244,0.08012089576473747,0.07983305437413592,0.09968794148915042,0.1134102100976858,0.04519774108206434,0.04230614457716836,0.07552238023941255,0.076701454525085,,0.05602316837639869,0.08255093724764326,0.06863787890829035,0.04112259551628203,0.06597372884710552,0.044184456001867635,0.06318116707125741
LEAN HOGS,0.3007271836778496,1.0,0.026921960034891047,0.07925282095065342,0.06303194207427965,0.08940710726413377,0.05433001228727019,0.07745027401860953,0.059431808433926,0.06703526892058755,0.04555295117455649,0.018322717891140473,0.02029339106121412,0.052175023683636156,0.042861945724903816,,0.04797310253633592,0.06356485532361049,0.06356919976205185,0.056757522353133166,0.061186295422384,0.029399997667140073,0.04939001429481148
COFFEE 'C',0.04112444316272158,0.026921960034891047,1.0,0.10015344664225213,0.07885812152910221,0.11203925009753928,0.11565798072683407,0.09404414263864345,0.08820479418049045,0.12877525058138464,0.13360567751232458,0.08237216282323188,0.03675795638985113,0.11886219489468926,0.12206167662677916,,0.08688216325561045,0.11385144391867051,0.09519945543074677,0.08670711195701891,0.11404089044227014,0.13991404915979494,0.06816720178010363
CORN,0.0951821726151732,0.07925282095065342,0.10015344664225213,1.0,0.20724256297296353,0.6402449772915786,0.14228901574417283,0.6226006365750408,0.16224329474837562,0.15582572523390162,0.20573457270193612,0.1285343896946594,0.08689824274415277,0.16724225930037256,0.12597623322011287,,0.10321731123384248,0.13641726505104496,0.12084914524681084,0.0962809013085695,0.12910373109023468,0.07443000614770927,0.14703454358432858
COTTON NO.2,0.06375802044193869,0.06303194207427965,0.07885812152910221,0.20724256297296353,1.0,0.2293157640014332,0.12277360907344004,0.1866850445657156,0.16130741146315175,0.1904511840735871,0.2254557989945497,0.09209050585191725,0.04707855803439872,0.1321446157675354,0.1243236428659372,,0.1197284813968399,0.17201509950230623,0.13683020263905532,0.11652905226281582,0.14901414085096554,0.0787607166170368,0.12372797912968063
SOYBEAN,0.11042625456293269,0.08940710726413377,0.11203925009753928,0.6402449772915786,0.2293157640014332,1.0,0.14489059575652857,0.46740950294802647,0.17680638104828422,0.2043908225902459,0.24312776915149661,0.15731275436378947,0.08866725495704601,0.2081315258253569,0.15230170307071328,,0.13302689188792186,0.17580843274521585,0.15270380304877626,0.12721252078308803,0.16352172459943853,0.09866608780553712,0.16424759806598874
SUGAR #11,0.0430638860295244,0.05433001228727019,0.11565798072683407,0.14228901574417283,0.12277360907344004,0.14489059575652857,1.0,0.13592709613999293,0.136845072514419,0.1409576767838064,0.19409515374453043,0.11483551057343572,0.038135226282380495,0.12655159913543906,0.11831474045595358,,0.08002181408833554,0.12938809733464174,0.11935630387443323,0.11008672885589556,0.1231010929672486,0.10752499876281121,0.11024899469735569
WHEAT FUTURE,0.08012089576473747,0.07745027401860953,0.09404414263864345,0.6226006365750408,0.1866850445657156,0.46740950294802647,0.13592709613999293,1.0,0.14477830235787095,0.1376880005027385,0.17501198283590988,0.1230410580217688,0.06163578424580641,0.15436992699119104,0.10825826989907371,,0.1137636358284354,0.1267839849055869,0.11351156673595389,0.08692404267470613,0.12274126305451216,0.07123978408949538,0.12336843735512383
BRENT CRUDE,0.07983305437413592,0.059431808433926,0.08820479418049045,0.16224329474837562,0.16130741146315175,0.17680638104828422,0.136845072514419,0.14477830235787095,1.0,0.2256752112316129,0.8106339527951776,0.1659744872516771,0.18548473854595296,0.1828161807637121,0.17528340559593153,,0.1670828023935943,0.2150814359392398,0.19382948367665345,0.1471327108893286,0.1766441172759017,0.08057653859827882,0.8092505598366542
COPPER FUTURE,0.09968794148915042,0.06703526892058755,0.12877525058138464,0.15582572523390162,0.1904511840735871,0.2043908225902459,0.1409576767838064,0.1376880005027385,0.2256752112316129,1.0,0.3094354749369579,0.27182555969514777,0.052607648485342995,0.3554915921564679,0.3172954886965648,,0.42898763915029486,0.7999895515920797,0.5143789574664913,0.44217023679808637,0.5429721165734783,0.0989533722079011,0.18384222107001016
GASOLINE RBOB,0.1134102100976858,0.04555295117455649,0.13360567751232458,0.20573457270193612,0.2254557989945497,0.24312776915149661,0.19409515374453043,0.17501198283590988,0.8106339527951776,0.3094354749369579,1.0,0.1509460079187883,0.15332614158658434,0.20516523304671974,0.23707638959546765,,0.21030302245951285,0.3045363553257784,0.25622009619677005,0.20274196617144913,0.22713964580874743,0.12064082052423565,0.7605594216041893
